ARTISTA,ARTISTB,,,,
Fact135,13.717530101,,,,
Imaginary People,13.7332088051,,,,
The Motor Tom,13.7475356127,,,,
Marked By Honor,13.7663390259,,,,
The Fabulous BioTones,13.7680157556,,,,
Tuckahoe,13.7954783186,,,,
Ella Christensen,13.8066760128,,,,
Medicine Bows,13.8332075547,,,,
Kung Foo Grip,13.8354804021,,,,
Kevin Andreas,13.8828149551,,,,
Kevin Tarte,13.8949333326,,,,
Tory Sound,13.9280992375,,,,
Mosis,13.9319979072,,,,
Rockaraoke,13.9362284801,,,,
Nonnie Parry,13.9516739104,,,,
The Soul Immigrants,13.9661553525,,,,
Mall Goth,13.9773524278,,,,
Jarv Dee,130.010134768,,,,
The Fabulous Greaseband,130.022724908,,,,
Sea of Heads,130.145492989,,,,
Ryan Eden,130.145631418,,,,
Novaluna,130.213009994,,,,
TC,130.419840455,,,,
Lalie & The Other Brad,130.582086783,,,,
KLIMT EXPERIENCE,130.629743189,,,,
Vincent Frade,130.630694534,,,,
The Skullers,130.676853282,,,,
Eric Sempe,130.957789598,,,,
dj BIODAN,130.9959645,,,,
Southern Sass,1300.08718293,,,,
The Exchange,1300.4213682,,,,
These Wild Plains,13000.1391346,,,,
Mostly Autumn,13000.1694134,,,,
"Nothing,Nowhere.",13001.2393789,,,,
Heisenberg,13001.691635,,,,
The 5.6.7.8's,13003.6346695,,,,
Joop Junior,13003.674676,,,,
The Legwarmers,13003.7728868,,,,
Shaquille O'Neal,13004.609539,,,,
dOP,130049.135024,,,,
Greet,130052.577586,,,,
Kesha,130062.291319,,,,
The House Harkonnen,1301.27465387,,,,
Lightfoils,1301.69626762,,,,
Hate,130106.707819,,,,
Sweet Sensation,13011.4086719,,,,
Mr. Carmack,130129.818022,,,,
Shawn Jones,13017.8245906,,,,
Elephant Revival,130195.266879,,,,
Lady Lamb,1302.6467566,,,,
Whispering Sons,1302.69674249,,,,
Steve Winwood & Rod Stewart,1302.70366908,,,,
Eyevory,1302.74672656,,,,
Isonomist,1302.95077285,,,,
Les Traè´¬ne-Savates,1302.98746723,,,,
Rafael Cancian,13020.0059248,,,,
Liz Cooper & The Stampede,13020.1280678,,,,
To The Wind,13021.5809286,,,,
Ian Parker,13021.7228964,,,,
Manifest,13021.9500368,,,,
Keep of Kalessin,13022.2323597,,,,
The Jar Family,13023.7929868,,,,
Julia Pederson - bass,13025.2757366,,,,
The Hazelnuts :: ?????? ???,1303.20962446,,,,
Even It Up - The Ultimate Heart Tribute Band,1303.31844164,,,,
J.Fernandes,1303.52613889,,,,
Sadie Roberts,1303.90932527,,,,
George Porter Jr.,130309.877721,,,,
truett,13033.7721473,,,,
Paper Hearts,13034.3582603,,,,
Spaceface,13034.9022741,,,,
Professor Louie & the Crowmatix,13039.9559564,,,,
Scottie Miller Band,1304.00466142,,,,
Unbound,1304.07350177,,,,
Zoo Station,1304.16817299,,,,
ROBERTO NEGRO,1304.5208769,,,,
the substance,1304.52804354,,,,
The Rabbit Hole,13040.3192832,,,,
Micah Brown,13040.9579248,,,,
Evan Sherman,13041.218652,,,,
Mudhoney,130418.307764,,,,
Sunny Marleen,13044.4011201,,,,
Young Marco,130446.447415,,,,
Martina Edoff,13045.4024027,,,,
The Skids,13046.7474775,,,,
Fortunate Youth,130461.925719,,,,
Scott,130462.162742,,,,
Mayumana,1305.19667128,,,,
Pat the Bunny,1305.33659917,,,,
Ranch Ghost,1305.37660673,,,,
"Ramming Speed, In Defence",1305.50231634,,,,
Pesky J. Nixon,1305.55856371,,,,
Eugene Mirman,1305.69244153,,,,
Oscar Ornelas,1305.78608046,,,,
the Revolution,13050.2003603,,,,
Frontier Ruckus,130509.20541,,,,
Peter Kraus,13051.2168037,,,,
Jo-El Sonnier,1306.67539517,,,,
TroyBoi,130624.793642,,,,
The Script,13066.2686733,,,,
Jason Gray,130674.191342,,,,
Garrett Dale,1307.23412723,,,,
Heather Holloway and The Heebie Jeebies,1307.26697584,,,,
God Seed,1307.42655579,,,,
Orquesta el Macabeo,1307.85695917,,,,
The McKameys,1307.94607625,,,,
Edie Brickell,13071.4555138,,,,
Underoath,13072.4493771,,,,
Fiji,130737.344646,,,,
Joe Jack Talcum,13074.5904986,,,,
Max BG,13078.6690801,,,,
Regular,13079.1185537,,,,
Red Machete,1308.22913952,,,,
My Son Bison,1308.56472069,,,,
Stephen Neeper and The Wild Hearts,1308.63266576,,,,
San Francisco Ballet,1308.85560253,,,,
Polica,130804.404421,,,,
TYR,130808.739916,,,,
Squidge,13082.256316,,,,
The Shine,13085.6203064,,,,
Swanky Tiger,1309.01802119,,,,
SASSAFRAZ,1309.55220126,,,,
Heather Go Psycho,1309.80102649,,,,
Family Thief,13090.4256873,,,,
Smile Empty Soul,13090.591112,,,,
Echoes,130908.388703,,,,
Stu Larsen,130931.268527,,,,
Mob Rules,13094.1736408,,,,
Regina Spektor,130949.290437,,,,
The Rails,13098.094083,,,,
Ill-Esha,130981.206779,,,,
Sam Bush,130996.784678,,,,
The Charleston Christmas Special,131.014697786,,,,
We the Hope,131.095839884,,,,
Molly's Worst Enemy,131.168007246,,,,
PopSkull Rebels,131.218026572,,,,
Jerome Baker,131.242227935,,,,
Limex,131.248596908,,,,
Primal Scream Therapy,131.534743951,,,,
Milk Dick,131.541051823,,,,
Entendre,131.601480002,,,,
Long Hallways,131.707789335,,,,
The Fancy Pears,131.739925184,,,,
Japhy's Descent,131.873916506,,,,
Oceans Over Airplanes,131.947220666,,,,
Wild Love,1310.03337245,,,,
Phil Vetter,1310.10190046,,,,
Xian Zhang,1310.3129365,,,,
Morningsiders,1310.62672861,,,,
Juggling,1310.62923733,,,,
"Ray Chenez, Countertenor",1310.71282679,,,,
Official Naughty By Nature,13100.933671,,,,
The Walters,13102.3526296,,,,
NC-17,13105.737379,,,,
Kool G Rap,13106.2990497,,,,
Gandalf,13106.7381007,,,,
Steve Aoki,1310650.25908,,,,
Mortiis,13107.5504382,,,,
Fear Nuttin Band,13108.2730178,,,,
Spinney Brothers,1311.56155235,,,,
Trevor Lawrence,1311.85383908,,,,
Marc,131101.822627,,,,
Nothing More,131112.31328,,,,
The White Buffalo,131124.92677,,,,
Without,13119.5297349,,,,
NRVS LVRS,1312.2915654,,,,
Kolby Oakley,1312.69668943,,,,
MICHEL ZENINO,1312.6983776,,,,
Infinite Skillz,1312.93814422,,,,
Juice,131205.790841,,,,
Johnny Gallagher,13122.7527615,,,,
Reginald D Hunter,13124.5231955,,,,
the Deadmen,13127.05153,,,,
The Sadies,131281.624333,,,,
Nomadic Massive,13130.8739819,,,,
Evanoff,13131.8633386,,,,
Feist,131314.741352,,,,
The Tallest Man on Earth,13135.9850982,,,,
Lowtide,13138.0155465,,,,
The Kominas,13139.1621145,,,,
XXX Wolf! XXX,1314.17884854,,,,
Wilde Jungs,1314.20766251,,,,
Heejaz,1314.42549267,,,,
noe talbot,1314.47368302,,,,
Kammerflimmern,1314.52336023,,,,
Ibiza Classics,1314.60859915,,,,
Ulla Meinecke Band,1314.96594585,,,,
Tuxedomoon,13140.7396474,,,,
megitza,13141.3553702,,,,
Rich Little,13142.1608312,,,,
Moonspellofficialband,131428.064723,,,,
The Steepwater Band,131430.965795,,,,
Son Of Town Hall,13146.4383002,,,,
Sean Rowe,131468.039478,,,,
Striker,13148.1937042,,,,
Tim Barry,131481.782541,,,,
The Hound,13149.3992672,,,,
Gypsy Flight,1315.33638381,,,,
Screech Bats,1315.68005524,,,,
Gianna Botticelli,1315.71925912,,,,
Elk Eskape,1315.94220092,,,,
The Rubinoos,13151.04694,,,,
PLEASUREDOME,13152.3790012,,,,
Johnny Fritz,13152.7931964,,,,
The Pizzas,13155.7495719,,,,
Kings of Class,13157.638253,,,,
Lucy Dixon,1316.35283339,,,,
Torrid Complex,1316.35498769,,,,
The Anderson Council,1316.43910958,,,,
Pastor Lopez,1316.44469959,,,,
Lee Mathis,1316.46515447,,,,
The Haymarket Squares,1316.5859524,,,,
Scottish Thunder,1316.61037256,,,,
Hausfrau,1316.64391325,,,,
Tiny Hazard,1316.69857997,,,,
Steve McGrew,1316.88202265,,,,
Little Bandit,1316.92220207,,,,
Volk,13161.2503542,,,,
Joe Derosa,13161.6125438,,,,
Supercharger,13163.5704228,,,,
Summer Daze,13163.9769217,,,,
Euge Groove,131637.250749,,,,
Golden,13164.314532,,,,
Progger,13166.6755019,,,,
Kwamè´±,13169.3030226,,,,
Ellen Sundberg - Artist,13169.4853921,,,,
Shmitty,13169.7253375,,,,
The Kennedy Administration,1317.21884187,,,,
Travestieshow,1317.48143116,,,,
ß¢ß⁄-2,13171.8148517,,,,
???,13172.1524158,,,,
Jeremih,131722.991894,,,,
Tanita Tikaram,13173.8181875,,,,
Sic,13174.4662061,,,,
Liquid Blue,131793.864651,,,,
The John Langan Band,1318.47902938,,,,
Jonathan Pinson,1318.69366747,,,,
Tommy Stinson,1318.75641678,,,,
LoveCollide,1318.84128518,,,,
Hallè´±,13182.0055117,,,,
Sophie Zelmani,13182.6121812,,,,
Foodman,13185.2196118,,,,
The Jackets,13186.6881769,,,,
Nappy Riddem,13187.6645703,,,,
The Knocks,131875.66777,,,,
Laura Joy,13189.2950953,,,,
Vada March,1319.59894945,,,,
From Paris,1319.91006754,,,,
The Begowatts,1319.96648467,,,,
Frankie J,13190.5443952,,,,
Jennifer Nettles,13192.3207498,,,,
Gothic Tropic,13192.7958786,,,,
From Indian Lakes,13194.1847715,,,,
Joel Kim Booster,13197.338617,,,,
Ghastly,131974.710766,,,,
Lagwagon,131987.391742,,,,
Vera Russo,132.012028532,,,,
Serotonic,132.015965887,,,,
The Cedars,132.102354114,,,,
Kalle Haglund,132.114825695,,,,
Matthew Levy,132.131536649,,,,
The Offshore Regulars,132.158188731,,,,
Mr. Feelgood & the Firm Believers,132.182868489,,,,
Tru Fonix,132.21853952,,,,
Mind:State,132.27513405,,,,
The Midnight Wanderers,132.347162595,,,,
Erin Grand,132.571332736,,,,
Paco Fernandez,132.673301026,,,,
Rainwalkers,132.759938429,,,,
J7,132.801379556,,,,
MAJOR MAJOR MAJOR,132.938759009,,,,
Halocene,1320.3593238,,,,
Everything Went Black,1320.37836551,,,,
Mè´£be,1320.58108192,,,,
The Delta,1320.79381641,,,,
Same As It Ever Was,13202.9703909,,,,
What's Going On,13204.9115683,,,,
Jamie Berry,13206.3198546,,,,
Epitome,13206.6371603,,,,
MakeWar,13206.658688,,,,
Olivia Newton-John,132061.585227,,,,
I Set My On Fire,132068.588797,,,,
Sidetracked,13207.8367809,,,,
Rayford Griffin,13208.7147592,,,,
Mogli,13209.3437765,,,,
Straight Line Stitch,13209.8970902,,,,
Nicholas Zork,1321.87548608,,,,
Personal Blend,1321.89123846,,,,
Jonathan Butler,132115.310275,,,,
Them Dirty Roses,13213.5099004,,,,
Steve Parker,13213.6709208,,,,
Fair Warning,13215.5616463,,,,
Michel Jonasz,13216.4732318,,,,
Motel Radio,13217.1052664,,,,
Rachel Coats,1322.2032842,,,,
The Wheeler Brothers,1322.3948134,,,,
Sun Hop Fat,1322.60529625,,,,
Lifecurse,13220.8450408,,,,
Kokomo,13221.8249602,,,,
The Matinee,13222.7461769,,,,
Handsome and Gretyl,13223.6396454,,,,
noZen,13223.6989396,,,,
Twista,132252.622178,,,,
Jack Wood,13227.096394,,,,
Lady Wray,13227.2888586,,,,
Guitar Shorty,132275.275113,,,,
Raffer,13228.7003582,,,,
Jacob Banks,13229.4345874,,,,
Jamie Lidell,132295.669231,,,,
Faut qu'è´Æa guinche,1323.36233767,,,,
Rose Cora Perry,1323.51251584,,,,
Sydney Wayser,1323.59724652,,,,
The Harpoonist,13230.988074,,,,
Les Wampas,13231.7045004,,,,
Payton Taylor,13234.15565,,,,
Elizabeth Hunter,13235.2669696,,,,
New Politics,132352.386185,,,,
Storm Large,132359.174308,,,,
Haptic,13237.4870583,,,,
Runaway Kids,132371.08917,,,,
Godfrey,13239.8161445,,,,
Photocomfort,1324.27991186,,,,
Luke Friend,1324.88833765,,,,
Keaton Simons,132402.116443,,,,
Jeff Babko,13241.7250098,,,,
Leslie Stevens,13243.8068854,,,,
Wink,132433.351518,,,,
Loverboy,132460.378037,,,,
Yes We Mystic,13248.3887145,,,,
Emma Loo and Sam,1325.16561994,,,,
Stephan Krus,1325.18089455,,,,
Sam Marine,1325.60040622,,,,
Liquorbox,1325.87444806,,,,
Swampcandy,13251.0659335,,,,
Soul2Soul The World Tour 2017,13254.325572,,,,
Lyrics,13254.5887877,,,,
GUILLAUME PERRET,13254.8604182,,,,
Green Room Rockers,13255.0986345,,,,
Mariachi Los Camperos de Nati Cano,13255.2585178,,,,
Sasha Go Hard,13255.5076728,,,,
Koan Sound,13255.7459002,,,,
Minimall,1326.24696405,,,,
Van Wilks,1326.38474171,,,,
Sarah Shook and the Disarmers,1326.44396417,,,,
Weldon Henson,1326.49781047,,,,
John Bell,1326.59711403,,,,
Witch Tripper,1326.90355653,,,,
Phoenix Club,1326.96016857,,,,
The Gospel Youth,13262.7445538,,,,
The Mahones,132642.728801,,,,
Kyla La Grange,13265.3486675,,,,
Stimming,132654.30148,,,,
Neha,13266.4302669,,,,
Parrish,13267.2853555,,,,
Yo Mama's Big Fat Booty Band,132671.453259,,,,
Jamo,13268.2468843,,,,
The Magnificents,13269.6634518,,,,
Syd Kult,1327.20476646,,,,
Greg Gatsby,1327.53567342,,,,
Ob Buchana,1327.76376754,,,,
GENTRI,13270.6576371,,,,
Jonathan MitchellBand,13272.6025014,,,,
Ruen Brothers,13273.2098223,,,,
Nicolas Reyes,13273.9764393,,,,
HERR,13274.5338805,,,,
Maitre Gims,13275.1287574,,,,
Rich Medina,132752.539727,,,,
Stenny,13277.8389287,,,,
Sticky Fingers,13277.8843993,,,,
THE HEYDAZE,13277.9569332,,,,
Meah Pace,13279.0101829,,,,
Runaway Brother,13279.8640823,,,,
Elodie Martelet,1328.0340534,,,,
Wind + Wave,1328.17702671,,,,
Happy Heartbreak,1328.37647446,,,,
Porta Inferi,1328.72316475,,,,
Jane Taylor,1328.75402469,,,,
Pharmakos,1328.92046547,,,,
Luis Hill,13283.6042162,,,,
Randy Jackson,13284.750722,,,,
UNO Mas,13285.5342087,,,,
Jamie Cullum,132867.778687,,,,
Night Terrors,13287.1323777,,,,
Nick Howard,132891.942172,,,,
Laura May,1329.32663642,,,,
Echoes performing the music of Pink Floyd,1329.45756909,,,,
The Thatchers,1329.80113151,,,,
Speedy J,132908.060994,,,,
The Four Horsemen,13291.1031221,,,,
Map.ache,13292.5040783,,,,
Ledisi,132929.871337,,,,
Nancy Kelly,13296.3559055,,,,
Ulcerate,13299.5618662,,,,
LIV,13299.5836833,,,,
Jim Jeffries,132990.187286,,,,
Hot Blood,133.005517483,,,,
Painted Young,133.200352397,,,,
Thrill Syndicate,133.260047252,,,,
The Outcrops,133.268946214,,,,
Kenny Valentine Band,133.359247172,,,,
SqueezeBox Bandits,133.396262319,,,,
Rat Soup,133.508403544,,,,
Stephen Talkovich,133.580080833,,,,
Social Circle,133.670061708,,,,
Mother Cyborg,133.700789456,,,,
Zoob,133.705556109,,,,
Western Bred,133.766944339,,,,
Van Darien,1330.26927722,,,,
Hazel Brugger,1330.65244504,,,,
Rockaforte,1330.68669346,,,,
The Voodoo Sheiks,1330.72549342,,,,
Nik,13303.0164681,,,,
Paradise,133030.027159,,,,
Ellie Dibben,13304.0253601,,,,
Quinn XCII,13304.5378899,,,,
Johnny Nicholas,13304.6020753,,,,
Lucia Tacchetti,13306.3623653,,,,
Patrick Lamb,133068.363447,,,,
Uneven Structure,13307.9379646,,,,
The Mastersons,133082.71216,,,,
bookworms,13309.9579491,,,,
Temperance Movement,1331.17817229,,,,
The 44s,1331.50362848,,,,
Middle Class Fashion,1331.58030259,,,,
Johann Pachelbel,1331.68384622,,,,
Earphorik,13310.9718164,,,,
Terrence Parker,133116.944667,,,,
Marcus Anderson,13313.3010907,,,,
Kev Choice,13315.4672997,,,,
Slow Joe & The Ginger Accident,13316.045607,,,,
Martin Smith,13316.3886979,,,,
Valkyrie,1332.01685185,,,,
Victoria Bailey,1332.52394588,,,,
Ryan Alvanos,1332.54096595,,,,
Least of These,13320.4865005,,,,
Tarik Barri,13324.57512,,,,
The Living End,133243.052348,,,,
La Mala Rodrè´øguez,13326.5201319,,,,
Josh Garrett,13326.8429748,,,,
Oozing Wound,13326.889646,,,,
Quince,13327.5570856,,,,
Truman Brothers,13328.0655161,,,,
Nathan Ball,1333.10000815,,,,
Marcel Dettman,13331.0857784,,,,
Remix,13333.0690602,,,,
Maga,13334.425028,,,,
sasasas,13336.1864407,,,,
Home sweet home,13337.021562,,,,
Maple,13337.1183454,,,,
Seventh Day Slumber,133371.196569,,,,
Evidence,133379.019223,,,,
Jah Works,13338.914162,,,,
Five Shot Jack,1334.27798067,,,,
No Man's Valley,1334.5297017,,,,
Tuft,1334.68410162,,,,
T-Bone Burnett,13340.1648153,,,,
Pop 1280,13340.5854018,,,,
Potluck,13341.8345937,,,,
Le Vent du Nord,133414.923388,,,,
Ruby Amanfu,13342.066615,,,,
Lonely The Brave,13343.8485329,,,,
The Soul Section,1335.03638535,,,,
The Upbeat Beatles,1335.55589099,,,,
"alex Maletich Sandy Campbell, Robby Campbell, Steve Volk, Steven Gore, Mario Bozza",1335.8274671,,,,
Hoffmaestro,13355.9918783,,,,
Sip,13356.2185706,,,,
GOSPEL POUR 100 VOIX,13358.7427705,,,,
Troop,13359.1039496,,,,
The Greatest Generation,1336.30571983,,,,
Twitching Tounges,1336.90931677,,,,
The Garden,133603.306101,,,,
Uli Jon Roth,133612.793443,,,,
Millennia,1337.00039502,,,,
Madeline Mondrala,1337.15929552,,,,
The Redemption's Colts,1337.19890845,,,,
Makisi,1337.21314018,,,,
Talisman,13373.3931831,,,,
Jackiem Joyner,13374.6221641,,,,
James Otto,133758.449139,,,,
Sevin,13378.5721318,,,,
Human Nature,133789.828942,,,,
Michael Kiwanuka,133796.660999,,,,
The Gentlemen Swank,1338.20705123,,,,
Kamil Stè´⁄ihavka & Leaders,1338.27640258,,,,
the Dewars,1338.42079463,,,,
Frequency Within,1338.49743181,,,,
Flat Busted,1338.74964224,,,,
Jerry Douglas,133800.883711,,,,
Joan Baez,133858.69461,,,,
Orgone,133881.390301,,,,
Fever The Ghost,1339.39073432,,,,
Lions After Dark,1339.5309458,,,,
Strings,133918.133623,,,,
Sage Francis,133925.663611,,,,
Melissa Reaves,13394.6544582,,,,
Parts,13396.5652831,,,,
The Revivalists,133963.32172,,,,
Monophonics,133973.053701,,,,
Roanoke,13399.5037049,,,,
Jean-Luc Arramy,134.010739893,,,,
Idols Of Apathy,134.136886088,,,,
rockaway bitch,134.175759334,,,,
Fin Zipper,134.213074701,,,,
Mean Wendy Band,134.262803873,,,,
Thomas Wesley Stern,134.317243681,,,,
"Rick Margitza, sax - Manuel Rocheman, piano - Peter Giron, bass - Jeff Boudreaux, drums",134.355481101,,,,
Will Heard,134.406426919,,,,
Moonshine Prophets,134.456555215,,,,
The Banshee Pilot,134.549289979,,,,
Eat The Evidence,134.611732971,,,,
St. Thomas Boys Academy,134.886339448,,,,
Stones in Pockets,134.942632552,,,,
Humble Kind,1340.17103042,,,,
Perpetua,1340.44648742,,,,
Shoring,1340.50458667,,,,
Floodhounds,1340.64683848,,,,
Shadowhouse,1340.88836207,,,,
Manel,13400.3044651,,,,
Lucy Spraggan,13401.9384306,,,,
Social Distortion,134037.899001,,,,
Noisem,13404.3626391,,,,
Kennedy Jones,134040.985678,,,,
The Connection,13407.9784827,,,,
Ricardo Villalobos,134083.592794,,,,
Jason Michael Carroll,134097.484949,,,,
Verse Metrics,1341.00353816,,,,
Fellswater,1341.07743573,,,,
Melveen Leed,1341.58225597,,,,
Tom May (The Menzingers),1341.59637031,,,,
Youth Decay,1341.8881273,,,,
Zach Nytomt,13410.1841326,,,,
Holy Moses,13411.1622349,,,,
Sexy Back,13411.4107126,,,,
Luke Mitchem,13412.2308805,,,,
Status Quo,134129.577888,,,,
Shlomi Aber,134137.119944,,,,
Miranda Sykes,13414.1760798,,,,
Jayceeoh,134144.546543,,,,
Peppino D'Agostino,134156.352771,,,,
Warthog,13417.3499031,,,,
Laylla Dane,13418.0478736,,,,
dj oil,13418.1105543,,,,
Pa,134180.909749,,,,
The Maccabees,134183.986774,,,,
Tony Lucca,134195.711068,,,,
Shanahan,1342.09852794,,,,
Quad Cities River Bandits,1342.19685158,,,,
The Z.G.s,1342.32494133,,,,
Lamon Manuel,1342.82240116,,,,
Jaron,13420.8876113,,,,
Flag,13422.2003749,,,,
Shea,13422.6489105,,,,
Vista Kicks,13426.2324192,,,,
For the Win,13426.9513471,,,,
Perro Bravo,13427.6862882,,,,
Kenseth Thibideau,1343.19179373,,,,
Ola Kvernberg,1343.56805965,,,,
The Georges,1343.79495827,,,,
Mamadou Ba- bass,13430.5567292,,,,
Emily Wolfe,13430.9845575,,,,
Dwarves,134303.877308,,,,
Ray Levier- drums,13434.4638179,,,,
Journeyman,13436.0060619,,,,
Entro Senestre,13437.2975843,,,,
National Symphony Orchestra,13438.8075497,,,,
famous last words,13439.049375,,,,
Trevor Hall with Cas Haley,1344.53400435,,,,
Michaè´≥l Gregorio,13440.2861647,,,,
Yves,13440.9788766,,,,
Red Baraat,134400.919037,,,,
Johnny Britt,13441.4178475,,,,
Hakan Hellstrom,13441.6639606,,,,
The Secret Garden,13447.4038908,,,,
Restorations,13447.462267,,,,
S Club,13449.3662202,,,,
Solillaquists of Sound,1345.03426601,,,,
Dylan Tanner,1345.40420576,,,,
Paradigm Party Band,1345.40954717,,,,
SOLOzuVIERT,1345.91805352,,,,
Summer Son,13450.3895376,,,,
Stuart Goldsmith,13451.9621143,,,,
MYKKI BLANCO,134517.602481,,,,
Tè©¨MA,13453.549429,,,,
High Voltage,134534.84739,,,,
Kyle Hall,134548.859227,,,,
Tanja La Croix,13456.654121,,,,
Sal Vulcano,1346.49505148,,,,
Vinyl Thief,1346.57407623,,,,
Outside Lands,1346.77475209,,,,
Joe Girvin Music,13460.0411675,,,,
The Two Tens,13460.694297,,,,
Mark Sanders,13461.1410989,,,,
Goasia,13466.2691953,,,,
Tropicana,13466.430218,,,,
Specimen A,13467.3034537,,,,
The Keels,13468.550155,,,,
Truncate,134686.044704,,,,
The Turkey Buzzards,13469.6542273,,,,
Jared Deck,13469.6613454,,,,
This Is All Now,1347.14906681,,,,
Layden & the Lion,1347.44843994,,,,
Jimmy Dooley,1347.48712497,,,,
Erik Dylan,1347.80070887,,,,
McRad,13470.4892507,,,,
Joker,134700.265645,,,,
Montage,13471.4085932,,,,
George Lopez,134714.184477,,,,
Tyla,13472.1706306,,,,
Paddy and the Rats,13472.2015309,,,,
The Blue Cats,13473.040952,,,,
The Molochs,13475.7176658,,,,
Mirror Queen,13476.0031679,,,,
Natalie Stovall,134768.18723,,,,
Oliver Koletzki,134771.267969,,,,
The Pharcyde,134778.457889,,,,
Soldiers of Solace,1348.11516763,,,,
Murph,1348.1337176,,,,
Raimè´±e,1348.49118233,,,,
Peter Peter,13480.3760738,,,,
Whitherward,13482.9534185,,,,
Stone,134823.827524,,,,
The Routine,13486.1742855,,,,
noJazz,13487.0208089,,,,
Sophie,134873.105908,,,,
The Skapones,1349.27859618,,,,
The High Curbs,1349.398763,,,,
Metafonics,1349.72679406,,,,
The Boxcars,13491.9665007,,,,
Tweet,13493.5212459,,,,
Simple Minds,134938.587809,,,,
SWEET LA MERVEILLE,13494.130782,,,,
Madness,134948.536434,,,,
WILL CLARKE,134949.047058,,,,
Triggerfinger,134979.593663,,,,
Hot Rain,13499.3770955,,,,
Kapitein Winokio,135.032731206,,,,
New Bohemians,135.102761601,,,,
The Joe Costello Project,135.251912781,,,,
KodaSounds,135.287088901,,,,
The Dead Pigeons,135.324800212,,,,
STG Presents,135.371539669,,,,
Somebody's Kids,135.477969299,,,,
Tecture,135.640160117,,,,
Peak2peak,135.735005013,,,,
Roddy & Rusty,135.79554507,,,,
The Toby Tobias Ensemble,135.834758932,,,,
Johann K.,135.898004243,,,,
The Jangling Reinharts,135.914839981,,,,
The Wiley One,135.957309912,,,,
The Lunch,1350.10292455,,,,
Ezra Bell,1350.75026978,,,,
Kyle Martin,1350.8537411,,,,
Whiskey Bent Valley Boys,1350.88607181,,,,
Golpe,13500.5147355,,,,
Paul Rodgers,135070.92099,,,,
The Po Boys,1351.09026135,,,,
My So-Called Band,13515.4122161,,,,
Markè´±ta Irglovè´°,13515.9140362,,,,
Xilent,135162.826213,,,,
The Glazzies,13517.9234722,,,,
Ignitor,1352.15467986,,,,
measures,1352.56450966,,,,
Rockers Galore,1352.58661567,,,,
Fil,13521.7187956,,,,
Tyrone Wells,135230.845578,,,,
Sam Llanas,13524.8599769,,,,
The Who,135258.203421,,,,
USA,135265.51128,,,,
Jay-Jay Johanson,13529.0125729,,,,
Mike Patton,13529.8500822,,,,
One Day Waiting,1353.34229685,,,,
Slow Down Scarlett,1353.45768384,,,,
The Lee Boys,1353.88240793,,,,
Permanent Makeup,1353.9406578,,,,
Pretty Poison,13531.2260017,,,,
Lindsey Saunders,13534.7249279,,,,
Quelle Chris,13536.6294901,,,,
Super Diamond,135374.396166,,,,
Gary War,13538.0827016,,,,
Rusty Egan,1354.61250766,,,,
One Steel Wound,1354.92582568,,,,
The Steppin Stones,13540.355137,,,,
Plu,13540.7649507,,,,
Rick Estrin & The Nightcats,135422.51484,,,,
Timmy Regisford,135438.200555,,,,
Reverie,13545.4956591,,,,
Guilty As Charged,13548.8613911,,,,
Whiskey Crossing,1355.13116182,,,,
"Jeremy Camp, Mandisa",1355.38215556,,,,
JJ MILTEAU,1355.81997614,,,,
Romina Power,13551.6618688,,,,
Year Of The Cobra,13553.1758176,,,,
Ronnie Milsap,135563.215369,,,,
ilia,13558.484777,,,,
Mark Brown,13559.6012189,,,,
Sectas,1356.17723843,,,,
Thomas David,1356.35178875,,,,
Incura,1356.66127586,,,,
Electric Love Temple,1356.73849112,,,,
Echo Ranks,1356.74181852,,,,
Toy Zoo,1356.81403608,,,,
Poxrucker Sisters,1356.86170552,,,,
Moon Hooch,135666.792362,,,,
Karen Peck & New River,13568.0262628,,,,
The Theadora Kelly Project,1357.04121625,,,,
MY MISSING HALF,1357.17857978,,,,
Save Your Breath,1357.29458044,,,,
Dwight Smith,1357.72457554,,,,
Green Day,135701.507776,,,,
Waterstrider,13572.0675646,,,,
Micah Schnabel,13573.193811,,,,
Soulless,13574.5460587,,,,
Jessie James Decker,13574.6722035,,,,
Smut,13575.5925841,,,,
The Patrons,13575.8914598,,,,
Jessie's Girl,13576.3333327,,,,
Strange Americans,13577.0076936,,,,
The Persuasions,13579.2967197,,,,
TBC,135793.506567,,,,
Joseph Cotton,1358.00614942,,,,
McHugh & Devine,1358.49598992,,,,
Noble Jacks,1358.63134889,,,,
Trophy Scars,1358.70423793,,,,
Rachida Brakni,1358.96399767,,,,
Renzo Arbore e L'Orchestra Italiana,13581.587348,,,,
Orange Blossom,13581.9898314,,,,
Mirus,13583.5153971,,,,
Scott Martin,13584.7890512,,,,
Pig&Dan,135845.804377,,,,
Sidney Samson,13585.7949766,,,,
Noa,135852.706696,,,,
Rachel Torro,13588.6282946,,,,
Thieves,135885.59179,,,,
Simon Trpceski,13589.7255394,,,,
Stephen Dale Petit,1359.27855441,,,,
Lukas,135902.274202,,,,
Trabants,13591.0391643,,,,
Sturgill Simpson,135962.784453,,,,
Knee High Fox,13597.4265619,,,,
Rea Garvey,13597.9110553,,,,
Joe Taylor,13599.6060415,,,,
Texas Cornflake Massacre,136.040027883,,,,
"Melody Ackerman, Cathy Ruiz, John Simonick, Luis Martinez",136.29967352,,,,
Fred Oakman,136.317946095,,,,
Maria Maslin,136.379825116,,,,
