 Somme des distances parcourues par les 54715 artistes pris en compte : 3914895177.67,,,,
 , nom de l'artiste , km parcourus , ,
,nom,km,,
 , Poetry ,160424.609592, ,
 , Ryan Beaver ,160367.081186, ,
 , Sunflower Bean ,160322.298393, ,
 , Sven Weisemann ,160315.114631, ,
 , The Dears ,160313.30697, ,
 , Jason Lindner ,160308.635598, ,
 , Silicone Soul ,160268.08881, ,
 , Barns Courtney ,160202.435473, ,
 , Darlingside ,160195.968272, ,
 , Audio Werner ,160189.208155, ,
 , Takacs Quartet ,160132.972481, ,
 , Messmer ,160132.906626, ,
 , Through Fire ,160115.535495, ,
 , Virgil ,160100.411684, ,
 , VIP Packages ,160094.914811, ,
 , Boats ,160062.934733, ,
 , L.A. WITCH ,160042.316241, ,
 , Michael English ,160033.737934, ,
 , Mark Eteson ,159983.567535, ,
 , Palace ,159969.788752, ,
 , Grupo Niche ,159945.227494, ,
 , Radio Birds ,159935.156532, ,
 , Sam Sparro ,159933.353314, ,
 , Robin Fox ,159897.587016, ,
 , Jack Russell's GREAT WHITE ,159888.09703, ,
 , LNY TNZ ,159864.440884, ,
 , Time Lock ,159835.995903, ,
 , The Radio Dept. ,159820.58183, ,
 , The Number Twelve Looks Like You ,159784.419873, ,
 , Paul's Journey ,159776.78312, ,
 , Breakout ,159748.540148, ,
 , Natalie Merchant ,159694.737385, ,
 , Jill Johnson ,159688.144083, ,
 , Charlie Puth ,159678.303771, ,
 , Dom Dolla ,159629.974282, ,
 , singer Storm Large ,159555.210806, ,
 , Giants ,159527.726206, ,
 , Shit ,159500.304417, ,
 , The Rasmus ,159483.425555, ,
 , Midnight Tyrannosaurus ,159478.104802, ,
 , Holy F ,159468.505366, ,
 , Blind Melon ,159452.016404, ,
 , Spellbound ,159373.845916, ,
 , Blues Pills ,159344.706452, ,
 , Panic City ,159327.458051, ,
 , 16BIT ,159309.390055, ,
 , Reagan Youth ,159304.775008, ,
 , Aretha Franklin ,159300.033627, ,
 , SayWeCanFly ,159275.249688, ,
 , Annie Moses Band ,159260.106379, ,
 , Sasha McVeigh ,159255.407928, ,
 , Trailer Park Boys ,159230.293271, ,
 , Casino ,159147.849927, ,
 , Through the Eyes of the Dead ,159131.009519, ,
 , Ingrosso ,159031.052668, ,
 , Crooked Teeth ,159023.757332, ,
 , Punisher ,158964.166666, ,
 , Unwed Sailor ,158956.239871, ,
 , Robert Forster ,158916.023536, ,
 , Citizen Way ,158897.141703, ,
 , Paul Revere and The Raiders ,158885.209514, ,
 , MNDR ,158865.061631, ,
 , Trampa ,158837.394057, ,
 , The Prophets ,158815.655739, ,
 , Gina Sicilia ,158801.154851, ,
 , Linda Davis ,158771.472547, ,
 , Logan Brill ,158759.7554, ,
 , Kevin Yost ,158726.532133, ,
 , Guitar Wolf ,158723.556441, ,
 , Songwriters In the Round ,158716.27769, ,
 , DJ Five ,158705.765097, ,
 , Kate Tempest ,158692.653498, ,
 , Audra McDonald ,158635.577718, ,
 , A F K ,158621.595995, ,
 , Tagträumer² ,158532.006475, ,
 , The Sidekicks ,158531.215356, ,
 , Erica Sunshine Lee ,158470.61732, ,
 , Big Thief ,158341.507609, ,
 , Steven Bernstein ,158333.628104, ,
 , The Romantics ,158328.688606, ,
 , Orbital ,158325.719378, ,
 , Aqueous ,158310.302537, ,
 , September Mourning ,158305.22685, ,
 , Ivy League ,158300.600439, ,
 , Atomic Punks ,158295.545424, ,
 , Spotlight ,158265.526606, ,
 , Maddie & Tae ,158260.453034, ,
 , Lee Rocker ,158214.00462, ,
 , Vengaboys ,158114.122354, ,
 , FootLoose ,158092.08876, ,
 , Boondox The Scarecrow ,158084.883741, ,
 , Kristin Chenoweth ,158009.007388, ,
 , Braille ,157998.270891, ,
 , Josh Cheon ,157976.579533, ,
 , Fur ,157973.315312, ,
 , Fridays ,157970.14318, ,
 , Masters at Work ,157929.398324, ,
 , HÄNDEL ,157920.711131, ,
 , Dave Arcari ,157903.007784, ,
 , FJAAK ,157886.19748, ,
 , Amanda Anne Platt and The Honeycutters ,157854.103717, ,
 , Thomas Enhco ,157853.721969, ,
 , Twiddle ,157832.020163, ,
 , Lauren Alaina ,157789.227601, ,
 , Amor ,157781.658599, ,
 , Lisa Loeb ,157760.340327, ,
 , Clarence Bucaro ,157732.905822, ,
 , DELICATE STEVE ,157727.97576, ,
 , Dekmantel Soundsystem ,157705.410329, ,
 , Eugene Hideaway Bridges ,157674.734801, ,
 , Dan Baird ,157661.014811, ,
 , Hotel Garuda ,157605.331668, ,
 , Dan Croll ,157589.242132, ,
 , Crazibiza ,157564.071924, ,
 , ALBARE ,157534.904182, ,
 , Pissed Jeans ,157519.194253, ,
 , Da Tweekaz ,157514.038932, ,
 , TLC ,157471.331259, ,
 , Marvin & Guy ,157403.546032, ,
 , Electric Beach ,157399.462445, ,
 , Chuck Negron ,157344.385345, ,
 , Correspondents ,157308.530332, ,
 , Kat Edmonson ,157229.416511, ,
 , Monika Ross ,157198.157067, ,
 , Shelley Segal ,157193.67645, ,
 , Cloud Cult ,157190.772857, ,
 , JD & The Straight Shot ,157183.339222, ,
 , Harper and Midwest Kind ,157131.636039, ,
 , New Madrid ,157118.560838, ,
 , Tom Keifer (Official) ,157092.025849, ,
 , Amaral ,157076.716832, ,
 , The Watch ,157065.395797, ,
 , Duke ,157018.434646, ,
 , Clark Kent ,157014.130814, ,
 , John Cleese ,157008.310525, ,
 , The Headhunters ,156944.131055, ,
 , White Party ,156928.459771, ,
 , The Bottle Rockets ,156918.271375, ,
 , Gridlok ,156894.401401, ,
 , Blanca ,156887.565259, ,
 , Hanne & Lore ,156852.89968, ,
 , Mark O'Connor ,156833.741667, ,
 , Double Trouble ,156800.678456, ,
 , Charlie Brown ,156757.262081, ,
 , Funnymansam ,156751.065221, ,
 , Radium ,156746.795083, ,
 , Hamish Anderson ,156742.490739, ,
 , Kelly ,156731.605986, ,
 , Das EFX ,156720.24892, ,
 , Max Gomez ,156717.170551, ,
 , Flagship ,156709.423963, ,
 , At the Drive-In ,156697.459633, ,
 , Crywolf ,156663.120639, ,
 , Supernatural ,156661.508478, ,
 , Andras Schiff ,156581.982405, ,
 , She Keeps Bees ,156579.641805, ,
 , Chuck Mead ,156576.15254, ,
 , Sarah Brightman ,156514.857138, ,
 , Michael Martin ,156495.259331, ,
 , Lurrie Bell ,156494.503654, ,
 , Michael Lington ,156473.64271, ,
 , Red Not Chili Peppers ,156467.239185, ,
 , Hot Chip DJ Set ,156438.210295, ,
 , The Trees ,156420.063455, ,
 , Scratch Perverts ,156389.917096, ,
 , The Three Degrees ,156310.679951, ,
 , The Delta Bombers ,156303.70664, ,
 , Richie ,156269.888148, ,
 , Wally ,156212.204364, ,
 , Rachelle Ferrell ,156194.097875, ,
 , Scott Kelly ,156149.393261, ,
 , Smallpools ,156127.584206, ,
 , The Atomic Bitchwax ,156071.147817, ,
 , Folk Uke ,156021.439888, ,
 , Culprit ,156003.786961, ,
 , Rising Appalachia Music ,155943.226073, ,
 , Chanté Moore ,155935.202585, ,
 , Matt Lange ,155923.431409, ,
 , Day Out ,155916.189215, ,
 , SPLASHH ,155907.920397, ,
 , Mieka Pauley ,155899.488231, ,
 , Jamie McLean Band ,155896.200396, ,
 , The Herbaliser ,155876.188819, ,
 , Harmony ,155824.647394, ,
 , Brandon Santini ,155777.391084, ,
 , ANNIX ,155741.51757, ,
 , Matthew Perryman Jones ,155724.072574, ,
 , Infest ,155714.352174, ,
 , Dayna Kurtz ,155669.66047, ,
 , Nattali Rize ,155656.725866, ,
 , The Wind + the Wave ,155594.563537, ,
 , Tony! Toni! Toné! ,155570.938702, ,
 , Nomi ,155514.436329, ,
 , Other ,155505.952511, ,
 , Samiam ,155467.303531, ,
 , Mike Stud ,155467.141475, ,
 , D.D Dumbo ,155441.559466, ,
 ," Claude Bourbon, medieval & Spanish blues ",155437.294194, ,
 , Alex Bugnon ,155396.176263, ,
 , Ben Walker ,155389.272261, ,
 , Palm Reader ,155357.874307, ,
 , Brent Cobb ,155333.595853, ,
 , The Partysquad ,155313.328597, ,
 , Yandel ,155301.135367, ,
 , Aly ,155290.508355, ,
 , Julien Doré ,155224.660631, ,
 , Rhett Walker Band ,155214.745523, ,
 , Jimmy Carr ,155205.133111, ,
 , The Last Internationale ,155204.720556, ,
 , Presents ,155185.698134, ,
 , Too Slim and the Taildraggers ,155132.082722, ,
 , Miranda Sings ,155127.019879, ,
 , Carlos Vives ,155118.834644, ,
 , Lao Tizer ,155102.07686, ,
 , Chris Stapleton ,155066.983565, ,
 , Jon Laine ,155062.670132, ,
 , Suicidal Angels ,155058.211686, ,
 , Russell Brand ,155045.21296, ,
 , Premiesku ,155038.470952, ,
 , Dj Ângelo ,155035.856577, ,
 , Acid Arab ,154948.670342, ,
 , Taimur Agha ,154945.624087, ,
 , Rahsaan Patterson ,154921.122859, ,
 , Jamie Richards ,154915.570829, ,
 , Depedro ,154897.209907, ,
 , Marmozets ,154863.027217, ,
 , Maren Morris ,154861.05538, ,
 , Paolo Fresu ,154844.87806, ,
 , Lea ,154825.393048, ,
 , Misterwives ,154702.774326, ,
 , Reckless Love ,154676.73584, ,
 , Doveman ,154672.879682, ,
 , Big Sugar ,154667.333533, ,
 , Gabriel Garzón-Montano ,154658.239857, ,
 , Brooks Williams ,154632.200213, ,
 , HIGHSOCIETY ,154568.424893, ,
 , Shenandoah ,154557.355903, ,
 , Beach Party ,154546.203799, ,
 , Butch Clancy ,154526.002301, ,
 , Tennyson ,154441.65228, ,
 , Miles Nielsen ,154434.566289, ,
 , Anna Kaelin ,154363.700047, ,
 , Priku ,154332.94236, ,
 , KIDZ BOP  ,154296.150117, ,
 , Kirk Fletcher ,154284.364448, ,
 , Alicia Witt ,154217.067429, ,
 , ROEBUCK ,154198.916168, ,
 , TRACE ,154190.364985, ,
 , Peter Cincotti ,154180.086817, ,
 , Mutts ,154177.017361, ,
 , Jethro Tull's IAN ANDERSON ,154103.636993, ,
 , Cameron Avery ,154080.050302, ,
 , Sarah Chang ,154047.568391, ,
 , JC Brooks Band  ,154001.830393, ,
 , Kara Grainger ,153975.419058, ,
 , Black Label Society ,153971.836896, ,
 , Dúné ,153933.948765, ,
 , Samantha ,153879.388601, ,
 , Mike Ryan ,153875.131592, ,
 , the Classic Rock Show ,153841.197294, ,
 , Sikdope ,153814.015822, ,
 , DJ ICON ,153813.867821, ,
 , Cyrus Chestnut ,153810.295178, ,
 , Matt Bednarsky ,153769.386739, ,
 , the Illusionists ,153724.908155, ,
 , Jon Stevens ,153710.326023, ,
 , Choice ,153707.360989, ,
 , Hiss ,153628.660626, ,
 , Karl Blau ,153623.822033, ,
 , Latin ,153622.557584, ,
 , Jeremy Messersmith ,153577.76781, ,
 , Jake Clemons ,153577.471558, ,
 , Teedra Moses ,153556.385563, ,
 , Captain PlanET ,153555.292298, ,
 , Lee Dewyze ,153516.43864, ,
 , Session Americana ,153516.394625, ,
 , Defeated Sanity ,153472.645167, ,
 , Aida ,153470.222366, ,
 , Teller ,153448.668888, ,
 , Omer Avital ,153404.504709, ,
 , Erica ,153394.320263, ,
 , Kelly McFarling ,153355.928994, ,
 , Brian Keith Wallen ,153329.650654, ,
 , Eileen Ivers ,153317.033797, ,
 , Ryan Hamilton ,153286.000426, ,
 , Meek Mill ,153259.406518, ,
 , The Crüxshadows ,153220.690437, ,
 , Humming House ,153162.007323, ,
 , Diane Birch ,153156.828721, ,
 , Raymundo ,153123.758358, ,
 , Keith Harkin ,153118.498265, ,
 , Dellacoma ,153114.802493, ,
 , Robbie Akbal ,153112.94033, ,
 , New Monsoon ,153078.961906, ,
 , Colony House ,153064.039502, ,
 , Tara Brooks ,153023.068962, ,
 , Ivan Neville ,153019.757725, ,
 , Lakim ,153014.645105, ,
 , Patton Oswalt ,152991.21258, ,
 , Neil Jackson ,152957.730956, ,
 , Michelle Malone ,152951.821114, ,
 , Pell ,152906.183724, ,
 , The Geek x Vrv  ,152886.776149, ,
 , Bryson Tiller ,152872.248557, ,
 , Destruction Unit ,152871.393443, ,
 , Charlotte ,152840.803798, ,
 , Mark Radcliffe ,152825.510395, ,
 , Wife ,152824.375974, ,
 , Tatanka ,152809.829844, ,
 , RoyalRepublic ,152807.878725, ,
 , Tai ,152799.596839, ,
 , Villain ,152766.519458, ,
 , SACRIFICIAL SLAUGHTER ,152750.346745, ,
 , Su Na ,152732.799663, ,
 , Andre Power ,152727.45395, ,
 , 5ive ,152707.975638, ,
 , Zara Larsson ,152697.103039, ,
 , Tigertown ,152664.305838, ,
 , The Humming Birds ,152650.073684, ,
 , Lovechild ,152646.266551, ,
 , McKenna Faith ,152632.479645, ,
 , Harry Potter ,152627.268749, ,
 , Margot & the Nuclear So and So's ,152612.843061, ,
 , Roberto Alagna ,152599.423258, ,
 , Brighton ,152548.442089, ,
 , Zapp ,152545.228102, ,
 , DJ E-Rock ,152509.208736, ,
 , Flow Tribe ,152486.544127, ,
 , Dr. Steve Gadd ,152475.980102, ,
 , Barrence Whitfield ,152438.012601, ,
 , Savoir Adore ,152406.856716, ,
 , Salomé ,152380.833313, ,
 , Droplex ,152376.938068, ,
 , Night Verses ,152369.509973, ,
 , New Breed ,152327.755091, ,
 , Headless Horseman ,152315.945213, ,
 , Otis Gibbs ,152304.109283, ,
 , Orlando ,152256.166419, ,
 , FAYUCA ,152217.339916, ,
 , Rob Little ,152200.013775, ,
 , Classical Mystery Tour ,152184.219657, ,
 , Cosmonauts ,152178.664156, ,
 , Monsta ,152157.706054, ,
 , Proyecto X ,152155.000748, ,
 , Lee Jones Music ,152154.165152, ,
 , SVETLANAS ,152146.282847, ,
 , dj delaChapelle ,152130.099153, ,
 , Los Fabulosos Cadillacs ,152104.952209, ,
 , Dillinja ,152100.773005, ,
 , Dominik Eulberg ,152096.139163, ,
 , Noah Peterson ,152094.662231, ,
 , Sandy ,152001.379042, ,
 , Salem ,151987.188969, ,
 , Zed Bias ,151974.746847, ,
 , Si ,151971.215427, ,
 , Alpha Rev ,151902.381684, ,
 , Wiener Philharmoniker ,151852.822703, ,
 , Dallas Mavericks ,151845.430264, ,
 , Metanoia ,151844.061072, ,
 , OBB ,151813.944364, ,
 , Ab-Soul ,151773.117247, ,
 , Prof ,151772.012345, ,
 , Tube ,151759.891181, ,
 , Don Jamieson ,151726.498087, ,
 , Frankie Cosmos ,151698.43036, ,
 , PIZZA ,151696.847359, ,
 , Ocean Colour Scene ,151671.940816, ,
 , Re ,151659.722675, ,
 , Woo ,151654.366783, ,
 , Jesse Ruben ,151629.727053, ,
 , The Isley Brothers ,151593.603677, ,
 , Big Daddy Wilson ,151554.316498, ,
 , High Valley ,151550.268452, ,
 , Marshall Crenshaw ,151544.075578, ,
 , Lizzo ,151539.518654, ,
 , Sumo Cyco ,151472.322188, ,
 , Martyr Defiled ,151439.474123, ,
 , Mixology ,151430.205852, ,
 , Stephen Pearcy ,151404.814667, ,
 , Vallis Alps ,151373.596764, ,
 , Steve Holy ,151291.631383, ,
 , UVB ,151288.651958, ,
 , Fates Warning ,151282.151247, ,
 , INXS ,151278.338806, ,
 , Matt Redman ,151266.046554, ,
 , Charlie Murphy ,151257.25559, ,
 , The Revelers ,151219.661156, ,
 , Andrew Dice Clay ,151218.112665, ,
 , Welcome To Night Vale ,151205.948737, ,
 , Chapters ,151181.068102, ,
 , garry todd ,151172.406903, ,
 , Lenny Williams ,151153.766292, ,
 , Grooverider ,151144.852151, ,
 , Dubioza kolektiv ,151144.475848, ,
 , Coasts ,151131.283884, ,
 , Satellite Stories ,151130.836793, ,
 , Royal Teeth ,151130.614171, ,
 , Doyle Bramhall II ,151118.03187, ,
 , Margo Price ,151117.137103, ,
 , Curtis Harding ,151102.178327, ,
 , Tango ,151047.243364, ,
 , Elle ,150991.803881, ,
 , Textures ,150990.136413, ,
 , dj masda ,150973.881645, ,
 , Kristian Attard ,150961.514543, ,
 , Conan ,150960.611896, ,
 , Dennis Chambers ,150959.768649, ,
 , Michael Kaeshammer ,150959.129464, ,
 , Carrie Elkin ,150864.506663, ,
 , RAVE Of THRONES ,150849.342734, ,
 , Black Sabbath ,150848.991753, ,
 , People's Blues of Richmond ,150830.069076, ,
 , Communist Daughter ,150821.489466, ,
 , Reminisce ,150763.561795, ,
 , Nicko Izzo ,150760.974484, ,
 , Frank Carter & The Rattlesnakes ,150751.644944, ,
 , Norman Jay ,150717.615263, ,
 , Kirko Bangz ,150716.968697, ,
 , Discharge ,150697.468227, ,
 , Marc DePulse ,150687.955421, ,
 , Julien-K ,150635.523195, ,
 , Alex Cameron ,150516.043713, ,
 , Quintron ,150478.044425, ,
 , NOX ,150457.427194, ,
 , King of the World ,150400.855039, ,
 , The Greyboy Allstars ,150392.165675, ,
 , Palm ,150380.84762, ,
 , Patricia Barber ,150362.936536, ,
 , Laurie Lewis ,150341.403017, ,
 , Twins ,150332.342907, ,
 , Motion Potion ,150332.083352, ,
 , Naughty Professor ,150330.615855, ,
 , Jamie Meyer Fans ,150311.153377, ,
 , Rita Ora ,150269.482334, ,
 , Johnny A. ,150264.765101, ,
 , The Distractions ,150261.133076, ,
 , Susto ,150234.174788, ,
 , Michael Charles ,150218.653585, ,
 , Harriet ,150202.897602, ,
 , Devour The Day ,150201.407241, ,
 , Peak ,150151.940234, ,
 , Cobra ,150097.873774, ,
 , Horace Andy ,150082.66457, ,
 , Rozwell Kid ,150076.564562, ,
 , Colin James ,150062.193528, ,
 , Moonchild ,149974.198092, ,
 , We Banjo 3 ,149961.790241, ,
 , twoloud ,149957.802635, ,
 , PJ ,149949.948436, ,
 , Eddie Izzard ,149946.880782, ,
 , Tarantula ,149935.308253, ,
 , Sammy J ,149905.429054, ,
 , Folk Family Revival ,149904.365234, ,
 , Black Star ,149902.173767, ,
 , Dallas ,149882.025356, ,
 , SAINT WKND ,149874.716788, ,
 , Scratcha DVA ,149869.612328, ,
 , Hive ,149853.51516, ,
 , Local Suicide ,149821.024436, ,
 , Shenanigans ,149783.89643, ,
 , Shakers ,149777.69214, ,
 , Teenage Fanclub ,149772.879985, ,
 , Vicci Martinez ,149755.617449, ,
 , Johnny Rivers ,149736.521053, ,
 , The Henry Clay People ,149732.636608, ,
 , Dance Spirit ,149709.940242, ,
 , Jon Snodgrass ,149671.767892, ,
 , Jeff Crosby ,149670.898705, ,
 , Steve Everett ,149619.764684, ,
 , M ,149612.480739, ,
 , Jools Holland ,149551.238335, ,
 , Texas Tenors ,149509.434537, ,
 , Maksim ,149508.42423, ,
 , Dr. Fresch ,149505.245286, ,
 , Casey James ,149484.952842, ,
 , Complete ,149471.409962, ,
 , Ultimate Doo Wop Show ,149446.941435, ,
 , Chris Robinson ,149435.4928, ,
 , The Cringe ,149384.535329, ,
 , Turquoise Jeep ,149373.904405, ,
 , The Neighbors ,149350.08343, ,
 , Emily King ,149339.745598, ,
 , Jask ,149303.213902, ,
 , Nahko ,149295.220722, ,
 , First Blood - OFFICIAL PAGE ,149284.972279, ,
 , Affect ,149250.091816, ,
 , Hercules ,149247.628887, ,
 , Fee Waybill ,149239.576629, ,
 , De La Ghetto ,149238.871085, ,
 , Shallow Side ,149183.741597, ,
 , DJ Irie ,149140.560447, ,
 , Zealand Worship ,149137.965629, ,
 , The Cover Girls ,149018.94419, ,
 , Jess ,149015.229765, ,
 , Ro ,148952.324643, ,
 , Zane Williams ,148897.476015, ,
 , Honky ,148867.920302, ,
 , Heirs ,148859.439809, ,
 , Kishi Bashi ,148858.612399, ,
 , Josh Ward Band ,148753.844214, ,
 , SoMo ,148711.240818, ,
 , Gescu ,148689.162031, ,
 , Jonah Tolchin ,148687.8783, ,
 , O C N S ,148679.694525, ,
 , Conflict ,148669.910111, ,
 , Strangled Darlings ,148642.806253, ,
 , The East Pointers ,148640.477384, ,
 , Save the Date ,148631.566718, ,
 , JD Eicher ,148591.320248, ,
 , Big Country ,148584.649252, ,
 , The Stone Roses ,148577.666062, ,
 , NEELY ,148573.876304, ,
 , FM Belfast ,148553.187997, ,
 , Clare Bowen ,148549.986519, ,
 , Miss Pussycat ,148506.958637, ,
 , Dramarama ,148495.409009, ,
 , Frances ,148476.981998, ,
 , Louie Anderson ,148474.129066, ,
 , Downfall ,148454.956192, ,
 , Big Band ,148377.801311, ,
 , Fish Out of Water ,148333.454797, ,
 , Hazmat Modine ,148322.899035, ,
 , Joe Teichman ,148296.429051, ,
 , SUMMER SERIES ,148258.472454, ,
 , Midnight Magic ,148243.145942, ,
 , Micky Dolenz ,148215.805971, ,
 , Gigi D'Alessio ,148149.456233, ,
 , Nigel Kennedy ,148125.031416, ,
 , Black Gold ,148102.130589, ,
 , Homebrew ,148084.691475, ,
 , Galcher Lustwerk ,148078.705419, ,
 , Scattered Hamlet ,148059.120047, ,
 , Doug Benson ,148046.128212, ,
 , Cosi fan tutte ,148043.086168, ,
 , Middle Kids ,148031.260957, ,
 , Water ,148011.929483, ,
 , The Official Blues Brothers Revue ,147989.370829, ,
 , Juelz Santana ,147945.811078, ,
 , brothers gow ,147937.096733, ,
 , Patrice ,147923.95078, ,
 , Satan ,147897.673432, ,
 , Mind Over Matter ,147885.060818, ,
 , STEVE POWERS ,147849.466874, ,
 , The Reign of Kindo ,147841.368141, ,
 , Archie ,147821.444232, ,
 , All Hail The Yeti ,147815.96031, ,
 , Alabama ,147811.312348, ,
 , XIXA ,147759.874176, ,
 , Tall Heights ,147737.437103, ,
 , Koo Koo Kanga Roo ,147726.534055, ,
 , noodles ,147722.670452, ,
 , Lee Bains III & The Glory Fires ,147721.872868, ,
 , Kasey Anderson ,147682.650601, ,
 , Freeway ,147676.724879, ,
 , Steven Wright ,147662.08841, ,
 , Forbidden Society ,147654.20469, ,
 , LOLO ,147631.633195, ,
 , Edgar Meyer ,147629.930492, ,
 , Rasputina ,147594.536944, ,
 , Little Barrie ,147577.998151, ,
 , Hip Hop Karaoke ,147573.720935, ,
 , Justin Robertson ,147563.571629, ,
 , The Puppini Sisters ,147515.08928, ,
 , Quinn Sullivan ,147483.970632, ,
 , White Mystery ,147478.374462, ,
 , Penny and Sparrow ,147447.837555, ,
 , Bob Saget ,147437.423783, ,
 , AM ,147407.950894, ,
 , Polyrhythmics ,147399.102866, ,
 , Simon Garcia ,147339.377438, ,
 , Chonda Pierce ,147300.898275, ,
 , Digital Mystikz ,147291.101911, ,
 , Front 242 ,147272.644797, ,
 , Groove ,147272.433564, ,
 , The Good Lovelies ,147260.824492, ,
 , Girlschool ,147222.182076, ,
 , Pacific Dub ,147210.653057, ,
 , Data CD ,147181.685532, ,
 , Jared Blake ,147172.524628, ,
 , Primordial ,147128.764036, ,
 , Hirax ,147102.205091, ,
 , A1 ,147063.81125, ,
 , Lance Lopez ,147062.067314, ,
 , Pink Talking Fish ,147023.982198, ,
 , Jonatha Brooke ,147007.082838, ,
 , HONNE ,146997.734472, ,
 , Tree ,146978.338156, ,
 , Steve Smith ,146934.83087, ,
 , Chris Turner ,146928.431873, ,
 , Lockjaw ,146921.313809, ,
 , Rainer Trueby ,146881.689687, ,
 , Jenny O. ,146878.882373, ,
 , Garth Brooks ,146867.732734, ,
 , Darcy James Argue's Secret Society ,146840.685344, ,
 , Lenzman ,146801.666846, ,
 , Konshens ,146797.707311, ,
 , Sense ,146772.863007, ,
 , Carla Bozulich ,146752.389086, ,
 , The Freeze ,146745.385159, ,
 , Danielle Nicole Band ,146737.642697, ,
 , Luna City Express ,146728.726994, ,
 , Love Affair ,146688.663785, ,
 , Roots Of Creation ,146682.696994, ,
 , Koen Groeneveld ,146680.609297, ,
 , Ravitez ,146639.349025, ,
 , Matt Kelly ,146630.465485, ,
 , Swim Team ,146630.318811, ,
 , Chastity Brown ,146612.670715, ,
 , Matt Alber ,146610.261032, ,
 , Third Son ,146579.929082, ,
 , Nick Colionne ,146557.853103, ,
 , Bonnie Whitmore ,146557.361816, ,
 , Possessed by Paul James ,146551.101091, ,
 , jeezy ,146466.166852, ,
 , Puddles Pity Party ,146451.532679, ,
 , The Picturebooks ,146434.702861, ,
 , Krayzie Bone ,146422.150474, ,
 , Taylor Eigsti ,146410.141357, ,
 , Forest Swords ,146407.393857, ,
 , Larry McCray ,146354.672112, ,
 , Kurtis Blow ,146295.560471, ,
 , RANDOM CONFLICT ,146261.926174, ,
 , Dj Bart Ricardo ,146252.669885, ,
 , GABBY YOUNG & Other Animals ,146181.218004, ,
 , Remain ,146167.474938, ,
 , John Heffron ,146142.173255, ,
 , Hidden Charms ,146128.225099, ,
 , Fastball ,146084.564623, ,
 , Shane Mauss ,146062.45703, ,
 , ThePianoGuys ,145996.241389, ,
 , Los Suruba ,145929.466165, ,
 , Andrew Marshall ,145923.004153, ,
 , Jazmine Sullivan ,145921.533594, ,
 , Plumb ,145865.66233, ,
 , Official Tower of Power Band ,145840.091674, ,
 , Horseshoes & Hand Grenades ,145796.225612, ,
 , Symphonie Fantastique ,145790.426983, ,
 , Pirate Copy ,145785.772533, ,
 , DAYA ,145773.95606, ,
 , Italy ,145772.674357, ,
 , Wild Card ,145771.771646, ,
 , Juno Reactor ,145771.472198, ,
 , Dead Combo ,145767.775965, ,
 , Haley Bonar ,145742.801404, ,
 , Bluegrass ,145703.962682, ,
 , Brass ,145700.342983, ,
 , Pee Wee Ellis ,145657.988283, ,
 , Melechesh ,145654.743965, ,
 , DJ Bone ,145654.430426, ,
 , Uppercut ,145650.46117, ,
 , Francois ,145648.158656, ,
 , Emerson String Quartet ,145637.629038, ,
 , The Rattlesnakes ,145577.79157, ,
 , Goapele ,145564.521678, ,
 , Beak ,145552.404132, ,
 , Lady Leshurr ,145537.679289, ,
 , The Lord of The Rings ,145529.046924, ,
 , Darwin ,145446.292302, ,
 , Parabellum ,145377.095496, ,
 , Architect ,145365.587625, ,
 , Bayonne ,145347.53263, ,
 , Sunday Gospel Brunch ,145336.083378, ,
 , Sailors ,145263.942559, ,
 , Marcus Strickland ,145257.616981, ,
 , Nino ,145235.942383, ,
 , Ada ,145212.970497, ,
 , Hot Chocolate ,145185.297501, ,
 , General Elektriks ,145180.30213, ,
 , Jeremy ,145171.919019, ,
 , Jaga Jazzist ,145165.164061, ,
 , Decyfer Down ,145154.319273, ,
 , Trilogy ,145152.594974, ,
 , Nell Bryden ,145133.902225, ,
 , MALUMA ,145026.027001, ,
 , The Abrams ,145017.348886, ,
 , Amy Stroup ,144988.450097, ,
 , ATEQ ,144979.569523, ,
 , Anna Coogan ,144952.113017, ,
 , New York Philharmonic ,144891.104761, ,
 , Frameworks ,144877.206336, ,
 , Goodnight ,144869.434835, ,
 , Ginkgoa ,144851.38556, ,
 , The Wallflowers ,144758.513165, ,
 , David Rovics ,144708.788194, ,
 , Pere Ubu ,144685.123936, ,
 , iamsu! ,144657.56395, ,
 , Bang! ,144608.535851, ,
 , Katie Garibaldi ,144583.610892, ,
 , Lachlan Bryan ,144557.383151, ,
 , Hanzel und Gretyl (Official) ,144502.930387, ,
 , Whole Lotta Led ,144497.437256, ,
 , The Bluetones ,144483.697832, ,
 , soundcloud.com ,144468.189635, ,
 , The Lawrence Arms ,144467.15554, ,
 , All Day I Dream ,144433.414304, ,
 , Fracture ,144406.270004, ,
 , Freedom Quartet ,144376.980033, ,
 , Rose's Pawn Shop ,144352.354817, ,
 , Friday Night ,144350.892261, ,
 , Lucy Echo ,144306.493178, ,
 , Don Rimini ,144292.645273, ,
 , Uniform ,144264.028601, ,
 , SONiA disappear fear ,144263.2154, ,
 , Lily & Madeleine ,144253.346512, ,
 , Mo Kenney ,144239.532915, ,
 , ZEBRA KATZ ,144227.430902, ,
 , Parks ,144103.206703, ,
 , Hapa ,144066.526624, ,
 , Stevie ,144062.260514, ,
 , Jamie Lawson ,144055.740778, ,
 , the Musical ,144044.814993, ,
 , Moa ,144043.553512, ,
